"Positions for account CEE Fund Portfolio ...948 as of 02:01 PM ET, 2026/09/02"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"MBGL","MOBILITY GLOBAL INC","4","20.4425","0.6125","3.09%","$81.77","$2.45","3.09%","$85.19","-$3.42","-4.01%","No","N/A","Equity",
"MSFT","MICROSOFT CORP","22.7249","497.3508","-3.6692","-0.73%","$11,302.25","-$83.38","-0.73%","$7,521.63","$3,780.62","50.26%","Yes","N/A","Equity",
"NFLX","NETFLIX INC","21","82.3841","1.5741","1.95%","$1,730.07","$33.06","1.95%","$1,936.31","-$206.24","-10.65%","Yes","N/A","Equity",
"PANW","PALO ALTO NETWORKS INC","22","322.435","-39.655","-10.95%","$7,093.57","-$872.41","-10.95%","$2,824.06","$4,269.51","151.18%","Yes","N/A","Equity",
"PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","30","169.58","-10.34","-5.75%","$5,087.40","-$310.20","-5.75%","$3,101.18","$1,986.22","64.05%","Yes","N/A","Equity",
"SOFI","SOFI TECHNOLOGIES INC","77","17.8385","0.7885","4.62%","$1,373.56","$60.71","4.62%","$582.65","$790.91","135.74%","Yes","N/A","Equity",
"SOUN","SOUNDHOUND AI INC CLASS A","50","6.825","-0.025","-0.36%","$341.25","-$1.25","-0.36%","$97.90","$243.35","248.57%","Yes","N/A","Equity",
"SPGI","S&P GLOBAL INC","4.0091","433.73","-6.48","-1.47%","$1,738.87","-$25.98","-1.47%","$1,678.66","$60.21","3.59%","Yes","N/A","Equity",
"TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","36","412.44","-1.56","-0.38%","$14,847.84","-$56.16","-0.38%","$6,718.86","$8,128.98","120.99%","No","N/A","Equity",
"TTWO","TAKE-TWO INTERACTIVE SOF","5","216.6475","-0.0325","-0.01%","$1,083.24","-$0.16","-0.01%","$1,021.06","$62.18","6.09%","Yes","N/A","Equity",
"V","VISA INC CLASS A","6.0356","378.03","5.36","1.44%","$2,281.64","$32.35","1.44%","$1,963.32","$318.32","16.21%","Yes","N/A","Equity",
"VMC","VULCAN MATLS CO","3.0609","265.7183","6.0283","2.32%","$813.34","$18.44","2.32%","$794.07","$19.27","2.43%","Yes","N/A","Equity",
"WM","WASTE MGMT INC DEL","34.8523","220.20","0.43","0.2%","$7,674.48","$14.99","0.2%","$5,313.47","$2,361.01","44.43%","Yes","N/A","Equity",
"WMT","WALMART INC","25.214","106.57","0.65","0.61%","$2,687.06","$16.39","0.61%","$2,449.80","$237.26","9.68%","Yes","N/A","Equity",
"XOM","EXXONMOBIL HLDGS CORP","17.3885","163.7945","-0.7555","-0.46%","$2,848.14","-$13.14","-0.46%","$1,797.72","$1,050.42","58.43%","Yes","N/A","Equity",
"BILS","STATE STREET SPDR BLOOMBERG 3-12 MONTH T-BILL ETF","107.6846","99.1274","0.0074","0.01%","$10,674.49","$0.80","0.01%","$10,696.73","-$22.24","-0.21%","Yes","N/A","ETFs & Closed End Funds",
"IGV","ISHARES EXPANDED TECH-SOFTWARE SECTOR ETF","56.0106","103.085","-3.095","-2.91%","$5,773.85","-$173.35","-2.91%","$3,788.45","$1,985.40","52.41%","Yes","N/A","ETFs & Closed End Funds",
"IYG","ISHARES U.S. FINANCIAL SERVICES ETF","71.4649","97.0599","0.7849","0.82%","$6,936.38","$56.09","0.82%","$3,628.27","$3,308.11","91.18%","Yes","N/A","ETFs & Closed End Funds",
"IYJ","ISHARES U.S. INDUSTRIALSETF","12.6144","159.50","0.79","0.5%","$2,012.00","$9.97","0.5%","$1,271.34","$740.66","58.26%","Yes","N/A","ETFs & Closed End Funds",
"RSPN","INVESCO S&P 500 EQUAL WEIGHT INDUSTRIALS ETF","150.1917","60.6573","0.1373","0.23%","$9,110.22","$20.62","0.23%","$7,736.11","$1,374.11","17.76%","Yes","N/A","ETFs & Closed End Funds",
"VGLT","VANGUARD LONG-TERM TREASINDEX FD ETF SHS","38.2212","52.565","0.005","0.01%","$2,009.10","$0.19","0.01%","$3,206.23","-$1,197.13","-37.34%","Yes","N/A","ETFs & Closed End Funds",
"VGT","VANGUARD INFORMATION TECHNOLOGY INDEX FUND ETF SHARES","96.2038","118.87","0.00","0%","$11,435.75","$0.00","0%","$5,279.20","$6,156.55","116.62%","Yes","N/A","ETFs & Closed End Funds",
"VNQ","VANGUARD REAL ESTATE INDEX FUND ETF SHARES","30.5867","95.74","-0.56","-0.58%","$2,928.37","-$17.13","-0.58%","$2,820.01","$108.36","3.84%","Yes","N/A","ETFs & Closed End Funds",
"XLB","STATE STREET MATERIALS SELECT SECTOR SPDR ETF","176.3318","53.08","1.01","1.94%","$9,359.69","$178.10","1.94%","$7,606.83","$1,752.86","23.04%","Yes","N/A","ETFs & Closed End Funds",
"XLC","STATE STREET COMMUNICATION SERVICES SELECT SECTOR SPDR ETF","88.8848","112.69","1.81","1.63%","$10,016.43","$160.88","1.63%","$6,883.08","$3,133.35","45.52%","Yes","N/A","ETFs & Closed End Funds",
"XLE","STATE STREET ENERGY SELECT SECTOR SPDR ETF","27.0057","65.045","0.275","0.42%","$1,756.59","$7.43","0.42%","$1,182.79","$573.80","48.51%","Yes","N/A","ETFs & Closed End Funds",
"XLP","STATE STREET CONSUMER STAPLES SELECT SECTOR SPDR ETF","133.7262","85.98","0.73","0.86%","$11,497.78","$97.62","0.86%","$9,624.29","$1,873.49","19.47%","Yes","N/A","ETFs & Closed End Funds",
"XLU","STATE STREET UTILITIES SELECT SECTOR SPDR ETF","43.1361","42.59","0.03","0.07%","$1,837.17","$1.29","0.07%","$1,283.75","$553.42","43.11%","Yes","N/A","ETFs & Closed End Funds",
"XLV","STATE STREET HEALTH CARESELECT SECTOR SPDR ETF","64.4768","172.92","1.25","0.73%","$11,149.33","$80.60","0.73%","$9,234.58","$1,914.75","20.73%","Yes","N/A","ETFs & Closed End Funds",
"XLY","STATE STREET CONSUMER DISCRETIONARY SELECT SECTOR SPDR ETF","42.1669","114.80","0.21","0.18%","$4,840.76","$8.86","0.18%","$4,954.92","-$114.16","-2.3%","Yes","N/A","ETFs & Closed End Funds",
"Cash & Cash Investments","--","--","--","--","--","$169.92","$0.00","0%","--","--","--","--","--","Cash and Money Market",
"Positions Total","","--","--","--","--","$221,128.48","-$473.54","-0.21%","$154,813.28","$66,145.28","42.73%","--","--","--",
