"Positions for account CEE Fund Portfolio ...948 as of 11:38 AM ET, 2026/08/03"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"SPGI","S&P GLOBAL INC","4.0091","411.0705","-0.8595","-0.21%","$1,648.02","-$3.45","-0.21%","$1,678.66","-$30.64","-1.83%","Yes","N/A","Equity",
"TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","36","402.7237","-1.5263","-0.38%","$14,498.05","-$54.95","-0.38%","$6,718.86","$7,779.19","115.78%","No","N/A","Equity",
"TTWO","TAKE-TWO INTERACTIVE SOF","5","248.21","5.29","2.18%","$1,241.05","$26.45","2.18%","$1,021.06","$219.99","21.55%","Yes","N/A","Equity",
"V","VISA INC CLASS A","6.025","366.77","0.64","0.17%","$2,209.79","$3.86","0.17%","$1,959.28","$250.51","12.79%","Yes","N/A","Equity",
"VMC","VULCAN MATLS CO","3.0548","277.5072","8.9372","3.33%","$847.73","$27.30","3.33%","$792.48","$55.25","6.97%","Yes","N/A","Equity",
"WM","WASTE MGMT INC DEL","34.8523","225.9281","-0.6219","-0.27%","$7,874.11","-$21.67","-0.27%","$5,313.47","$2,560.64","48.19%","Yes","N/A","Equity",
"WMT","WALMART INC","25.214","110.6493","-0.5507","-0.5%","$2,789.91","-$13.89","-0.5%","$2,449.80","$340.11","13.88%","Yes","N/A","Equity",
"XOM","EXXONMOBIL HLDGS CORP","17.3885","155.398","-0.042","-0.03%","$2,702.14","-$0.73","-0.03%","$1,797.72","$904.42","50.31%","Yes","N/A","Equity",
"BILS","STATE STREET SPDR BLOOMBERG 3-12 MONTH T-BILL ETF","107.3534","99.145","-0.295","-0.3%","$10,643.55","-$31.67","-0.3%","$10,663.88","-$20.33","-0.19%","Yes","N/A","ETFs & Closed End Funds",
"IGV","ISHARES EXPANDED TECH-SOFTWARE SECTOR ETF","56.0106","96.88","2.30","2.43%","$5,426.31","$128.82","2.43%","$3,788.45","$1,637.86","43.23%","Yes","N/A","ETFs & Closed End Funds",
"IYG","ISHARES U.S. FINANCIAL SERVICES ETF","71.4649","96.00","0.48","0.5%","$6,860.63","$34.30","0.5%","$3,628.27","$3,232.36","89.09%","Yes","N/A","ETFs & Closed End Funds",
"IYJ","ISHARES U.S. INDUSTRIALSETF","12.6144","165.69","1.77","1.08%","$2,090.08","$22.33","1.08%","$1,271.34","$818.74","64.4%","Yes","N/A","ETFs & Closed End Funds",
"RSPN","INVESCO S&P 500 EQUAL WEIGHT INDUSTRIALS ETF","166.1917","63.385","0.705","1.12%","$10,534.06","$117.17","1.12%","$8,333.97","$2,200.09","26.4%","Yes","N/A","ETFs & Closed End Funds",
"VGLT","VANGUARD LONG-TERM TREASINDEX FD ETF SHS","38.0678","52.8199","0.0499","0.09%","$2,010.74","$1.90","0.09%","$3,198.06","-$1,187.32","-37.13%","Yes","N/A","ETFs & Closed End Funds",
"VGT","VANGUARD INFORMATION TECHNOLOGY INDEX FUND ETF SHARES","96.2038","114.37","1.22","1.08%","$11,002.83","$117.37","1.08%","$5,279.20","$5,723.63","108.42%","Yes","N/A","ETFs & Closed End Funds",
"VNQ","VANGUARD REAL ESTATE INDEX FUND ETF SHARES","30.5867","99.062","0.112","0.11%","$3,029.98","$3.43","0.11%","$2,820.01","$209.97","7.45%","Yes","N/A","ETFs & Closed End Funds",
"XLB","STATE STREET MATERIALS SELECT SECTOR SPDR ETF","176.3318","50.61","0.18","0.36%","$8,924.15","$31.74","0.36%","$7,606.83","$1,317.32","17.32%","Yes","N/A","ETFs & Closed End Funds",
"XLC","STATE STREET COMMUNICATION SERVICES SELECT SECTOR SPDR ETF","88.8848","111.68","3.44","3.18%","$9,926.65","$305.76","3.18%","$6,883.08","$3,043.57","44.22%","Yes","N/A","ETFs & Closed End Funds",
"XLE","STATE STREET ENERGY SELECT SECTOR SPDR ETF","27.0057","59.115","-0.435","-0.73%","$1,596.44","-$11.75","-0.73%","$1,182.79","$413.65","34.97%","Yes","N/A","ETFs & Closed End Funds",
"XLP","STATE STREET CONSUMER STAPLES SELECT SECTOR SPDR ETF","133.7262","85.0216","-0.0284","-0.03%","$11,369.62","-$3.80","-0.03%","$9,624.29","$1,745.33","18.13%","Yes","N/A","ETFs & Closed End Funds",
"XLU","STATE STREET UTILITIES SELECT SECTOR SPDR ETF","43.1361","44.35","0.00","0%","$1,913.09","$0.00","0%","$1,283.75","$629.34","49.02%","Yes","N/A","ETFs & Closed End Funds",
"XLV","STATE STREET HEALTH CARESELECT SECTOR SPDR ETF","64.4768","161.905","-0.645","-0.4%","$10,439.12","-$41.59","-0.4%","$9,234.58","$1,204.54","13.04%","Yes","N/A","ETFs & Closed End Funds",
"XLY","STATE STREET CONSUMER DISCRETIONARY SELECT SECTOR SPDR ETF","42.1669","118.425","2.335","2.01%","$4,993.62","$98.46","2.01%","$4,954.92","$38.70","0.78%","Yes","N/A","ETFs & Closed End Funds",
"Cash & Cash Investments","--","--","--","--","--","$1,276.24","$0.00","0%","--","--","--","--","--","Cash and Money Market",
"Positions Total","","--","--","--","--","$223,603.20","$2,398.11","1.07%","$156,578.36","$65,748.60","41.99%","--","--","--",
